"레시피ID","이름","분류","등급","필요시설","재료","결과","효과","지속","숙련도","태그","공개","판매가","원가","이윤","이윤율","","","","","","","","","",""
"cook_licorice_milk","감초 우유","채집요리","R1","공용 주방","감초x1, 우유x1","감초 우유x1","메이저, MP 1D회복","즉시","4","피로도,회복","FALSE","22","14","8","57.1%","","","","","","","","","",""
"cook_mistletoe_tea","겨우살이 차","채집요리","R1","공용 주방","겨우살이x1, 물x1","겨우살이 차x1","지력 +1 증가","30분","4","버프,지력","FALSE","17","9","8","88.9%","","","","","","","","","",""
"cook_bass_grill","소금 배스구이","생선요리","R1","공용 주방","배스x1, 소금x1","소금 배스구이x1","정신 +1 증가","30분","3","버프,정신","FALSE","42","34","8","23.5%","","","","","","","","","",""
"cook_carp_soup","잉어 맑은탕","생선요리","R1","공용 주방","잉어x1, 물x1, 소금x1","잉어 맑은탕x1","메이저, HP 2D회복","즉시","3","피로도,회복","FALSE","46","38","8","21.1%","","","","","","","","","",""
"cook_mudfish_soup","미꾸라지탕","생선요리","R1","공용 주방","미꾸라지x1, 채소x1, 물x1","미꾸라지탕x1","행운 +1 증가","30분","4","버프,행운","FALSE","26","18","8","44.4%","","","","","","","","","",""
"cook_trout_roast","송어구이","생선요리","R1","공용 주방","송어x1, 소금x1","송어구이x1","메이저, HP 1D회복","즉시","4","피로도,회복","FALSE","41","33","8","24.2%","","","","","","","","","",""
"cook_salmon_steak","연어 스테이크","생선요리","R1","공용 주방","연어x1, 소금x1, 향신료x1","연어 스테이크x1","시나리오 종료 시 까지 지속. 물리 방어력 +1 버프","세션","6","버프,물리방어","FALSE","93","85","8","9.4%","","","","","","","","","",""
"cook_tilapia_wrap","틸라피아 랩","생선요리","R1","공용 주방","틸라피아x1, 밀x1, 채소x1","틸라피아 랩x1","메이저, HP 1D회복","즉시","5","피로도,회복","FALSE","42","34","8","23.5%","","","","","","","","","",""
"cook_egg_drop_soup","달걀국","간단요리","R1","공용 주방","달걀x1, 물x1, 소금x1","달걀국x1","메이저, HP 1D회복","즉시","2","피로도,회복","FALSE","48","45","3","6.7%","","","","","","","","","",""
"cook_fruit_punch","과일 화채","간단요리","R1","공용 주방","과일x2, 물x1","과일 화채x1","시나리오 종료 시 까지 지속. 마법 방어력 +1 버프","세션","2","버프,마법방어","FALSE","28","25","3","12.0%","","","","","","","","","",""
"cook_salt_biscuit","소금 비스킷","간단요리","R1","공용 주방","밀x1, 소금x1, 우유x1","소금 비스킷x1","근력 +1 증가","30분","2","버프,근력","FALSE","63","60","3","5.0%","","","","","","","","","",""
"cook_spice_milk_tea","향신료 밀크티","간단요리","R1","공용 주방","우유x1, 물x1, 향신료x1","향신료 밀크티x1","메이저, MP 1D회복","즉시","3","피로도,회복","FALSE","68","65","3","4.6%","","","","","","","","","",""
"cook_steamed_egg","행운의 계란찜","간단요리","R1","공용 주방","달걀x2, 물x1","행운의 계란찜x1","재주 +1 증가","30분","4","버프,재주","FALSE","28","25","3","12.0%","","","","","","","","","",""
"cook_veggie_stirfry","채소 볶음","간단요리","R1","공용 주방","채소x2, 소금x1","채소 볶음x1","민첩 +1 증가","30분","3","버프,민첩","FALSE","53","50","3","6.0%","","","","","","","","","",""
"cook_milk_pudding","우유 푸딩","기본요리","R1","공용 주방","우유x2, 달걀x1","우유 푸딩x1","메이저, MP 1D회복","즉시","4","피로도,디저트","FALSE","33","30","3","10.0%","","","","","","","","","",""
"cook_bluegill_fry","블루길 튀김","생선요리","R1","공용 주방","블루길x1, 밀x1, 소금x1","블루길 튀김x1","감지 +1 증가","30분","3","버프,감지","FALSE","59","51","8","15.7%","","","","","","","","","",""
"cook_junchi_jeon","준치전","생선요리","R1","공용 주방","준치x1, 밀x1, 달걀x1","준치전x1","지력 +1 증가","30분","4","버프,지력","FALSE","40","32","8","25.0%","","","","","","","","","",""
"cook_hyango_grill","향어 허브구이","생선요리","R1","공용 주방","향어x1, 향신료x1, 소금x1","향어 허브구이x1","정신 +1 증가","30분","5","버프,정신","FALSE","92","84","8","9.5%","","","","","","","","","",""
"cook_trout_sandwich","송어 샌드위치","생선요리","R1","공용 주방","송어x1, 밀x1, 채소x1","송어 샌드위치x1","행운 +1 증가","30분","5","버프,행운","FALSE","41","33","8","24.2%","","","","","","","","","",""
"cook_pirurk_steak","피루루크 스테이크","생선요리","R1","공용 주방","피루루크x1, 소금x1, 향신료x1","피루루크 스테이크x1","시나리오 종료 시 까지 지속. 물리 방어력 +2 버프","세션","5","버프,물리방어","FALSE","92","84","8","9.5%","","","","","","","","","",""
"cook_mudfish_fry","미꾸라지 튀김","생선요리","R1","공용 주방","미꾸라지x1, 밀x1, 소금x1","미꾸라지 튀김x1","메이저, HP 1D회복","즉시","3","피로도,회복","FALSE","61","53","8","15.1%","","","","","","","","","",""
"cook_bellflower_muchim","도라지 무침","채집요리","R1","공용 주방","도라지x1, 채소x1, 소금x1","도라지 무침x1","시나리오 종료 시 까지 지속. 마법 방어력 +2 버프","세션","3","버프,마법방어","FALSE","54","46","8","17.4%","","","","","","","","","",""
"cook_berry_yogurt","산딸기 요거트","채집요리","R1","공용 주방","산딸기x1, 우유x1","산딸기 요거트x1","근력 +1 증가","30분","3","버프,근력","FALSE","24","18","6","33.3%","","","","","","","","","",""
"cook_deodeok_fry","더덕 튀김","채집요리","R1","공용 주방","더덕x1, 밀x1, 달걀x1","더덕 튀김x1","재주 +1 증가","30분","5","버프,재주","FALSE","46","38","8","21.1%","","","","","","","","","",""
"cook_cheonrihyang_tea","천리향 꽃차","채집요리","R1","공용 주방","천리향x1, 물x1","천리향 꽃차x1","민첩 +1 증가","30분","4","버프,민첩","FALSE","20","12","8","66.7%","","","","","","","","","",""
"basic_cheese_omelet","치즈 오믈렛","기본요리","R2","공용 주방","달걀x1, 우유x1, 치즈x1","치즈 오믈렛","시나리오 종료 시 까지 지속. 최대 HP +5, 최대 MP +5 증가 버프","세션","12","세션버프,HPMP","FALSE","73","70","3","4.3%","","","","","","","","","",""
"basic_fruit_tart","과일 타르트","기본요리","R2","공용 주방","밀x1, 과일x1, 우유x1","과일 타르트","메이저, MP 2D회복","즉시","12","피로도,디저트","FALSE","43","40","3","7.5%","","","","","","","","","",""
"basic_cheese_soup","치즈 채소 수프","기본요리","R2","공용 주방","채소x1, 치즈x1, 물x1","치즈 채소 수프","시나리오 종료 시 까지 지속. 공격력 +3 증가 버프","세션","12","세션버프,공격","FALSE","68","65","3","4.6%","","","","","","","","","",""
"basic_hunter_stew","사냥꾼 스튜","기본요리","R2","공용 주방","고기x1, 채소x1, 향신료x1","사냥꾼 스튜","시나리오 종료 시 까지 지속. 물리 방어력 +3 증가 버프","세션","14","세션버프,물리방어","FALSE","73","70","3","4.3%","","","","","","","","","",""
"basic_fisher_snack","낚시꾼 간식","생활요리","R2","공용 주방","밀x1, 치즈x1, 소금x1","낚시꾼 간식","행운 +3 증가","30분","14","버프,행운","FALSE","103","100","3","3.0%","","","","","","","","","",""
"basic_gatherer_drink","약초꾼 음료","생활요리","R2","공용 주방","과일x1, 물x1, 향신료x1","약초꾼 음료","시나리오 종료 시 까지 지속. 마법 방어력 +2 버프","세션","14","버프,마법방어","FALSE","68","65","3","4.6%","","","","","","","","","",""
"basic_lucky_plate","작은 행운 정식","생활요리","R2","공용 주방","달걀x1, 채소x1, 향신료x1","작은 행운 정식","시나리오 종료 시 까지 지속. 명중 판정 +3 버프","세션","14","버프,명중","FALSE","73","70","3","4.3%","","","","","","","","","",""
"basic_hearty_breakfast","든든한 아침식사","기본요리","R2","공용 주방","달걀x1, 고기x1, 밀x1","든든한 아침식사","메이저, HP 2D회복","즉시","15","피로도,식사","FALSE","43","40","3","7.5%","","","","","","","","","",""
"cook_hot_spring_fish","유황어 온천찜","생선요리","R2","조리대","유황어x1, 물x1, 소금x1","유황어 온천찜x1","메이저, HP 2D회복","즉시","8","피로도,회복","FALSE","60","45","15","33.3%","","","","","","","","","",""
"cook_crayfish_cheese","금박가재 치즈구이","생선요리","R2","조리대","금박가재x1, 치즈x1, 향신료x1","금박가재 치즈구이x1","시나리오 종료 시 까지 지속. 마법 방어력 +3 증가 버프","세션","8","세션버프,마법방어","FALSE","129","116","13","11.2%","","","","","","","","","",""
"cook_flower_catfish_stew","꽃잎 메기 스튜","생선요리","R2","조리대","꽃잎 메기x1, 채소x1, 물x1","꽃잎 메기 스튜x1","회피 판정 +3 증가","30분","8","버프,회피","FALSE","43","29","14","48.3%","","","","","","","","","",""
"cook_angel_fish_meuniere","엔젤피쉬 뫼니에르","생선요리","R2","조리대","엔젤피쉬x1, 밀x1, 우유x1","엔젤피쉬 뫼니에르x1","시나리오 종료 시 까지 지속. 명중 판정 +3 증가 버프","세션","9","세션버프,명중","FALSE","57","44","13","29.5%","","","","","","","","","",""
"cook_sansam_chicken","산삼 백숙","채집요리","R2","조리대","산삼x1, 고기x1, 물x1","산삼 백숙x1","메이저, HP 1D회복, MP 1D회복","즉시","9","피로도,회복","FALSE","55","40","15","37.5%","","","","","","","","","",""
"cook_cordyceps_soup","동충하초 수프","채집요리","R2","조리대","동충하초x1, 물x1, 향신료x1","동충하초 수프x1","시나리오 종료 시 까지 지속. 회피 판정 +2 증가 버프","세션","10","세션버프,회피","FALSE","84","70","14","20.0%","","","","","","","","","",""
"cook_luminous_moss_jelly","발광이끼 젤리","채집요리","R2","조리대","발광이끼x1, 과일x1, 물x1","발광이끼 젤리x1","근력 +2 증가","30분","10","버프,근력","FALSE","40","27","13","48.1%","","","","","","","","","",""
"cook_reishi_hotpot","영지버섯 전골","채집요리","R2","조리대","영지버섯x1, 채소x1, 물x1","영지버섯 전골x1","메이저, MP 1D회복","즉시","8","피로도,회복","FALSE","38","25","13","52.0%","","","","","","","","","",""
"cook_rockfruit_pie","락 후르츠 파이","채집요리","R2","조리대","락 후르츠x1, 밀x1, 우유x1","락 후르츠 파이x1","시나리오 종료 시 까지 지속. 근력 +2 증가 버프","세션","10","세션버프,근력","FALSE","58","45","13","28.9%","","","","","","","","","",""
"cook_arowana_cutlet","아로와나 커틀릿","생선요리","R2","조리대","아로와나x1, 밀x1, 달걀x1, 소금x1","아로와나 커틀릿x1","시나리오 종료 시 까지 지속. 재주 +2 증가 버프","세션","9","세션버프,재주","FALSE","87","75","12","16.0%","","","","","","","","","",""
"cook_mountain_trout_soup","산천어 산채탕","생선요리","R2","조리대","산천어x1, 산나물x1, 물x1, 소금x1","산천어 산채탕x1","메이저, HP 2D회복","즉시","9","피로도,회복","FALSE","65","53","12","22.6%","","","","","","","","","",""
"cook_slime_jack_jelly","슬라임 잭 젤리","생선요리","R2","조리대","슬라임 잭x1, 과일x1, 물x1","슬라임 잭 젤리x1","재주 +2 증가","30분","10","버프,재주","FALSE","39","28","11","39.3%","","","","","","","","","",""
"cook_baekyang_elixir_soup","백양초 회복탕","채집요리","R2","조리대","백양초x1, 물x1, 산나물x1","백양초 회복탕x1","메이저, MP 2D회복","즉시","9","피로도,회복","FALSE","36","25","11","44.0%","","","","","","","","","",""
"cook_blue_rose_tea","푸른 장미 차","채집요리","R2","조리대","푸른 장미x1, 물x1, 향신료x1","푸른 장미 차x1","시나리오 종료 시 까지 지속. 민첩 +2 증가 버프","세션","10","세션버프,민첩","FALSE","85","73","12","16.4%","","","","","","","","","",""
"cook_hasuo_root_stew","하수오 뿌리찜","채집요리","R2","조리대","하수오x1, 고기x1, 물x1","하수오 뿌리찜x1","메이저, MP 2D회복","즉시","10","피로도,회복","FALSE","41","29","12","41.4%","","","","","","","","","",""
"cook_meat_pie","고기 파이","기본요리","R2","공용 주방","밀x1, 고기x1, 달걀x1","고기 파이x1","메이저, HP 2D회복","즉시","8","피로도,식사","FALSE","43","40","3","7.5%","","","","","","","","","",""
"cook_fruit_cheese_plate","과일 치즈 플레이트","기본요리","R2","공용 주방","과일x1, 치즈x1","과일 치즈 플레이트x1","지력 +3 증가","30분","8","버프,지력","FALSE","63","60","3","5.0%","","","","","","","","","",""
"cook_spice_stew","향신료 스튜","기본요리","R2","공용 주방","고기x1, 향신료x1, 물x1","향신료 스튜x1","정신 +3 증가","30분","8","버프,정신","FALSE","68","65","3","4.6%","","","","","","","","","",""
"cook_heaven_berry_tart","헤븐 베리 타르트","고급요리","R3","주방","헤븐 베리x1, 밀x1, 우유x1, 치즈x1","헤븐 베리 타르트x1","메이저, HP 2D회복, MP 2D회복","즉시","14","피로도,회복","FALSE","135","108","27","25.0%","","","","","","","","","",""
"cook_goliath_fish_platter","골리앗피쉬 플래터","고급요리","R3","주방","골리앗피쉬x1, 채소x1, 소금x1, 향신료x1","골리앗피쉬 플래터x1","시나리오 종료 시 까지 지속. 최대 HP +10, 최대 MP +10 증가 버프","세션","15","세션버프,HPMP","FALSE","175","150","25","16.7%","","","","","","","","","",""
"cook_adventurer_stew","모험가 스튜","고급요리","R3","주방","고기x1, 채소x1, 물x1, 산나물x1, 배스x1","모험가 스튜x1","재주 +3 증가","30분","15","버프,재주","FALSE","62","33","29","87.9%","","","","","","","","","",""
"cook_icicle_carp_sorbet","고드름 잉어 소르베","고급요리","R3","주방","고드름 잉어x1, 과일x1, 물x1","고드름 잉어 소르베x1","시나리오 종료 시 까지 지속. 물리 방어력 +4, 마법 방어력 +4 증가 버프","세션","13","세션버프,방어","FALSE","76","49","27","55.1%","","","","","","","","","",""
"cook_pyrelthus_spicy_grill","파이렐투스 매운구이","고급요리","R3","주방","파이렐투스x1, 향신료x1, 소금x1","파이렐투스 매운구이x1","시나리오 종료 시 까지 지속. 공격력 +4 증가 버프","세션","14","세션버프,공격","FALSE","136","112","24","21.4%","","","","","","","","","",""
"cook_platinum_fish_pie","백금어 파이","고급요리","R3","주방","백금어x1, 밀x1, 우유x1, 치즈x1","백금어 파이x1","메이저, HP 4D회복","즉시","14","피로도,회복","FALSE","136","113","23","20.4%","","","","","","","","","",""
"cook_ruby_star_chowder","루비 스타 차우더","고급요리","R3","주방","루비 스타x1, 우유x1, 물x1, 향신료x1","루비 스타 차우더x1","민첩 +3 증가","30분","15","버프,민첩","FALSE","132","101","31","30.7%","","","","","","","","","",""
"cook_rebel_fish_steak","역천어 스테이크","고급요리","R3","주방","역천어x1, 채소x1, 소금x1, 향신료x1","역천어 스테이크x1","시나리오 종료 시 까지 지속. 명중 판정 +4 증가 버프","세션","16","세션버프,명중","FALSE","152","127","25","19.7%","","","","","","","","","",""
"cook_udumbara_tea","우담바라 영차","고급요리","R3","주방","우담바라x1, 물x1, 과일x1","우담바라 영차x1","감지 +3 증가","30분","15","버프,감지","FALSE","76","48","28","58.3%","","","","","","","","","",""
"cook_mandrake_omelet","맨드레이크 오믈렛","고급요리","R3","주방","맨드레이크x1, 달걀x1, 우유x1","맨드레이크 오믈렛x1","시나리오 종료 시 까지 지속. 회피 판정 +4 증가 버프","세션","15","세션버프,회피","FALSE","76","55","21","38.2%","","","","","","","","","",""
"cook_ghost_hand_risotto","유령손 리조토","고급요리","R3","주방","유령손x1, 밀x1, 치즈x1, 향신료x1","유령손 리조토x1","지력 +4 증가","30분","16","버프,지력","FALSE","172","152","20","13.2%","","","","","","","","","",""
"cook_dragon_flower_roast","드래곤 플라워 로스트","고급요리","R3","주방","드래곤 플라워x1, 고기x1, 향신료x1","드래곤 플라워 로스트x1","시나리오 종료 시 까지 지속. 마법 방어력 +4 증가 버프","세션","18","세션버프,근력","FALSE","115","94","21","22.3%","","","","","","","","","",""
"cook_marigold_cookie","메리골드 쿠키","고급요리","R3","주방","메리골드x1, 밀x1, 달걀x1, 우유x1","메리골드 쿠키x1","정신 +4 증가","30분","16","버프,정신","FALSE","105","80","25","31.3%","","","","","","","","","",""
"cook_golden_firefly_cordial","황금 반딧풀 코디얼","고급요리","R3","주방","황금 반딧풀x1, 과일x1, 물x1","황금 반딧풀 코디얼x1","행운 +4 증가","30분","20","버프,행운","FALSE","104","75","29","38.7%","","","","","","","","","",""
"cook_linmel_moss_steam","린멜 이끼찜","고급요리","R3","주방","린멜스케일x1, 마력을 품은 이끼x1","린멜 이끼찜x1","메이저, HP 3D회복, MP 1D회복","즉시","17","피로도,회복","FALSE","88","66","22","33.3%","","","","","","","","","",""
"cook_armored_claw_mandrake","판금집게 맨드레이크찜","고급요리","R3","주방","판금집게x1, 맨드레이크x1","판금집게 맨드레이크찜x1","시나리오 종료 시 까지 지속. 물리 방어력 +4 증가 버프","세션","17","세션버프,물리방어","FALSE","86","65","21","32.3%","","","","","","","","","",""
"cook_kingfish_udumbara_sashimi","임금님고기 우담회","고급요리","R3","주방","임금님고기x1, 우담바라x1","임금님고기 우담회x1","행운 +4 증가","30분","18","버프,행운","FALSE","92","69","23","33.3%","","","","","","","","","",""
"cook_pitch_black_ghost_grill","피치 블랙 유령구이","고급요리","R3","주방","피치 블랙x1, 유령손x1","피치 블랙 유령구이x1","시나리오 종료 시 까지 지속. 회피 판정 +4 증가 버프","세션","18","세션버프,회피","FALSE","86","65","21","32.3%","","","","","","","","","",""
"cook_jade_shell_wind_salad","비취껍질 바람 샐러드","고급요리","R3","주방","비취껍질x1, 바람깃털x1","비취껍질 바람 샐러드x1","민첩 +4 증가","30분","18","버프,민첩","FALSE","85","64","21","32.8%","","","","","","","","","",""
"cook_crania_marigold_soup","크라니아 메리골드 수프","고급요리","R3","주방","크라니아x1, 메리골드x1","크라니아 메리골드 수프x1","정신 +4 증가","30분","19","버프,정신","FALSE","96","72","24","33.3%","","","","","","","","","",""
"cook_shadow_dragon_flower_steam","섀도스위머 용꽃찜","고급요리","R3","주방","섀도스위머x1, 드래곤 플라워x1","섀도스위머 용꽃찜x1","시나리오 종료 시 까지 지속. 마법 방어력 +4 증가 버프","세션","19","세션버프,마법방어","FALSE","91","68","23","33.8%","","","","","","","","","",""
"cook_cyclo_magic_branch_skewer","사이클로 마력꼬치","고급요리","R3","주방","사이클로피쉬x1, 마력이 깃든 나뭇가지x1","사이클로 마력꼬치x1","시나리오 종료 시 까지 지속. 명중 판정 +4 증가 버프","세션","20","세션버프,명중","FALSE","76","57","19","33.3%","","","","","","","","","",""
"cook_waterdrop_flower_cake","물망울 꽃 케이크","명품요리","R4","고급 주방","물망울 꽃x1, 밀x1, 우유x1, 치즈x1","물망울 꽃 케이크x1","시나리오 종료 시 까지 지속. 최대 HP +20, 최대 MP +20 증가 버프","세션","25","세션버프,HPMP","FALSE","1642","1080","562","52.0%","","","","","","","","","",""
"cook_alpirin_winter_clear_soup","알피린 설화 맑은탕","명품요리","R4","고급 주방","알피린x1, 겨울나기x1, 바람깃털x1","알피린 설화 맑은탕x1","메이저, HP 4D회복, MP 2D회복","즉시","25","피로도,회복","FALSE","1812","1230","582","47.3%","","","","","","","","","",""
"cook_melinoa_spring_jelly","멜리노아 봄빛 젤리","명품요리","R4","고급 주방","멜리노아x1, 봄빛 전령x1, 마력을 품은 이끼x1","멜리노아 봄빛 젤리x1","감지 +5 증가","30분","26","버프,감지","FALSE","1633","985","648","65.8%","","","","","","","","","",""
"cook_stardust_summer_carpaccio","스타더스트 여름 카르파초","명품요리","R4","고급 주방","스타더스트x1, 여름길잡이x1, 오렌지x1","스타더스트 여름 카르파초x1","시나리오 종료 시 까지 지속. 명중 판정 +5 증가 버프","세션","26","세션버프,명중","FALSE","1793","1124","669","59.5%","","","","","","","","","",""
"cook_whisper_autumn_terrine","속삭임 가을 테린","명품요리","R4","고급 주방","속삭임나무x1, 가을비늘x1, 마력이 깃든 나뭇가지x1","속삭임 가을 테린x1","정신 +5 증가","30분","26","버프,정신","FALSE","1853","1176","677","57.6%","","","","","","","","","",""
"cook_death_trumpet_candle_stew","죽음의 나팔 촛불스튜","명품요리","R4","고급 주방","죽음의 나팔x1, 버펠의 촛불x1, 유령손x1","죽음의 나팔 촛불스튜x1","시나리오 종료 시 까지 지속. 마법 방어력 +5 증가 버프","세션","27","세션버프,마법방어","FALSE","1802","1132","670","59.2%","","","","","","","","","",""
"cook_alpirin_gale_skewer","알피린 돌풍 꼬치","명품요리","R4","고급 주방","알피린x1, 돌풍화살x1, 파이프위드x1","알피린 돌풍 꼬치x1","민첩 +5 증가","30분","27","버프,민첩","FALSE","1899","1216","683","56.2%","","","","","","","","","",""
"cook_waterdrop_sailfish_platter","물망울 청새치 플래터","명품요리","R4","고급 주방","물망울 꽃x1, 청새치x1","물망울 청새치 플래터x1","시나리오 종료 시 까지 지속. 최대 HP +15, 최대 MP +15 증가 버프","세션","28","세션버프,HPMP","FALSE","2600","2000","600","30.0%","","","","","","","","","",""
"cook_stardust_tuna_steak","스타더스트 참치 스테이크","명품요리","R4","고급 주방","스타더스트x1, 참치x1","스타더스트 참치 스테이크x1","시나리오 종료 시 까지 지속. 공격력 +5 증가 버프","세션","28","세션버프,공격","FALSE","2183","1550","633","40.8%","","","","","","","","","",""
"cook_ghost_angler_mushroom_soup","혼불아귀 나팔 수프","명품요리","R4","고급 주방","혼불아귀x1, 죽음의 나팔x1","혼불아귀 나팔 수프x1","지력 +5 증가","30분","29","버프,지력","FALSE","2240","1600","640","40.0%","","","","","","","","","",""
"cook_oraykal_whisper_roast","오레이칼 속삭임구이","명품요리","R4","고급 주방","오레이칼x1, 속삭임나무x1","오레이칼 속삭임구이x1","시나리오 종료 시 까지 지속. 물리 방어력 +5, 마법 방어력 +5 증가 버프","세션","29","세션버프,방어","FALSE","2413","1750","663","37.9%","","","","","","","","","",""
