레시피ID,이름,분류,등급,필요시설,재료,결과,효과,지속,숙련도,태그,공개,판매가
cook_arowana_cutlet,아로와나 커틀릿,생선요리,R2,조리대,"아로와나x1, 밀x1, 달걀x1, 소금x1",아로와나 커틀릿x1,세션 버프: 공격 대미지 +1,다음 세션,9,"세션버프,복합",TRUE,105
cook_mountain_trout_soup,산천어 산채탕,생선요리,R2,조리대,"산천어x1, 산나물x1, 물x1, 소금x1",산천어 산채탕x1,HP [2D]+2 회복,즉시,9,"피로도,회복",TRUE,65
cook_slime_jack_jelly,슬라임 잭 젤리,생선요리,R2,조리대,"슬라임 잭x1, 과일x1, 물x1",슬라임 잭 젤리x1,30분 동안 낚시 행운 +5,30분,10,"생활행운,낚시",TRUE,40
cook_fog_sardine_toast,안개정어리 토스트,생선요리,R2,조리대,"안개정어리x1, 밀x1, 치즈x1",안개정어리 토스트x1,30분 동안 낚시 행운 +5,30분,10,"생활행운,낚시",TRUE,125
cook_green_mandarin_fish,녹쏘가리 허브찜,생선요리,R2,조리대,"녹쏘가리x1, 산나물x1, 향신료x1",녹쏘가리 허브찜x1,세션 버프: 민첩 판정 +1,다음 세션,11,"세션버프,복합",TRUE,110
cook_icicle_carp_sorbet,고드름 잉어 소르베,고급요리,R3,주방,"고드름 잉어x1, 과일x1, 물x1",고드름 잉어 소르베x1,세션 버프: 마법 방어력 +1,다음 세션,13,"세션버프,방어",TRUE,60
cook_pyrelthus_spicy_grill,파이렐투스 매운구이,고급요리,R3,주방,"파이렐투스x1, 향신료x1, 소금x1",파이렐투스 매운구이x1,세션 버프: 공격 대미지 +1,다음 세션,14,"세션버프,공격",TRUE,165
cook_platinum_fish_pie,백금어 파이,고급요리,R3,주방,"백금어x1, 밀x1, 우유x1, 치즈x1",백금어 파이x1,HP [3D]+2 회복,즉시,14,"피로도,회복",TRUE,145
cook_ruby_star_chowder,루비 스타 차우더,고급요리,R3,주방,"루비 스타x1, 우유x1, 물x1, 향신료x1",루비 스타 차우더x1,세션 버프: 행운 수정치 +1,다음 세션,15,"세션버프,복합",TRUE,145
cook_rebel_fish_steak,역천어 스테이크,고급요리,R3,주방,"역천어x1, 채소x1, 소금x1, 향신료x1",역천어 스테이크x1,세션 버프: 공격 대미지 +1,다음 세션,16,"세션버프,복합",TRUE,190
cook_baekyang_elixir_soup,백양초 회복탕,채집요리,R2,조리대,"백양초x1, 물x1, 산나물x1",백양초 회복탕x1,MP [2D] 회복,즉시,9,"피로도,회복",TRUE,35
cook_blue_rose_tea,푸른 장미 차,채집요리,R2,조리대,"푸른 장미x1, 물x1, 향신료x1",푸른 장미 차x1,세션 버프: 최대 MP +1,다음 세션,10,"세션버프,마법",TRUE,100
cook_hasuo_root_stew,하수오 뿌리찜,채집요리,R2,조리대,"하수오x1, 고기x1, 물x1",하수오 뿌리찜x1,MP [2D] 회복,즉시,10,"피로도,회복",TRUE,35
cook_udumbara_tea,우담바라 영차,고급요리,R3,주방,"우담바라x1, 물x1, 과일x1",우담바라 영차x1,세션 버프: 행운 수정치 +1,다음 세션,15,"세션버프,판정",FALSE,60
cook_mandrake_omelet,맨드레이크 오믈렛,고급요리,R3,주방,"맨드레이크x1, 달걀x1, 우유x1",맨드레이크 오믈렛x1,세션 버프: 최대 HP +2,다음 세션,15,"세션버프,복합",TRUE,75
cook_ghost_hand_risotto,유령손 리조토,고급요리,R3,주방,"유령손x1, 밀x1, 치즈x1, 향신료x1",유령손 리조토x1,세션 버프: 지력 판정 +1,다음 세션,16,"세션버프,마법",TRUE,220
cook_dragon_flower_roast,드래곤 플라워 로스트,고급요리,R3,주방,"드래곤 플라워x1, 고기x1, 향신료x1",드래곤 플라워 로스트x1,세션 버프: 공격 대미지 +1,다음 세션,18,"세션버프,공격",TRUE,135
cook_marigold_cookie,메리골드 쿠키,고급요리,R3,주방,"메리골드x1, 밀x1, 달걀x1, 우유x1",메리골드 쿠키x1,세션 버프: 행운 수정치 +1,다음 세션,16,"세션버프,행운",TRUE,105
cook_golden_firefly_cordial,황금 반딧풀 코디얼,고급요리,R3,주방,"황금 반딧풀x1, 과일x1, 물x1",황금 반딧풀 코디얼x1,30분 동안 낚시·채집 행운 +8,30분,20,"생활행운,복합",TRUE,65
cook_waterdrop_flower_cake,물망울 꽃 케이크,명품요리,R4,고급 주방,"물망울 꽃x1, 밀x1, 우유x1, 치즈x1",물망울 꽃 케이크x1,"세션 버프: 최대 HP +2, 최대 MP +1",다음 세션,25,"세션버프,명품",TRUE,1075
