no,이름,서식지,등급,별등급,중량,판매가,숙련도,크기기본,크기편차,설명
23,슬라임 잭,강/민물,R2,★★☆☆☆,1,11,5,60,20,"말랑말랑, 만지면 기분이 좋다. 특정 매니아들 사이에서 인기가 많다."
39,안개피라미,강/민물,R2,★★☆☆☆,1,15,15,60,10,"흐물흐물거릴 정도로 뼈가 얇아 지어진 이름의 물고기, 톡 쏘는 맛이 별미이다."
40,백운산,강/민물,R2,★★☆☆☆,1,15,15,60,10,백은 빛 비늘과 꼬리 부분의 붉은 무늬가 아름다운 물고기. 보통 관상어로 키워진다.
74,불꽃장어,강/민물,R2,★★☆☆☆,1,11,10,60,13,몸통에 불꽃을 닮은 무늬가 있다고 하여 불꽃장어라 불린다. 실제로 불을 뿜거나 하지는 않는다고.
75,호플리아스,강/민물,R2,★★☆☆☆,1,11,10,60,13,덩치가 크고 성질이 사나운 물고기. 섣불리 손을 대려 했다가는 크게 다칠 수 있으니 조심하자.
76,무지개고기,강/민물,R2,★★☆☆☆,1,11,10,60,13,보는 각도에 따라 다양한 색을 보이는 비늘을 가진 물고기. 실제로 무지개색인 것은 아니니 실망하지 않도록 하자.
77,파라다이스피쉬,강/민물,R2,★★☆☆☆,1,11,10,60,13,주황색의 화려한 줄무늬를 가진 물고기. 이름을 직역한 극락어라고도 불린다.
78,플라워 혼,강/민물,R2,★★☆☆☆,1,11,10,60,13,꽃 모양의 뿔을 머리 부분에 달고 있는 물고기. 실제로 보면 의외로 덩치가 크다.
79,메갈로도라스,강/민물,R2,★★☆☆☆,1,11,10,60,13,온 몸에 단단한 외골격을 두른 거대한 물고기. 어중간하게 베려고 하면 튕겨져 나온 칼날에 본인이 상처를 입을 수 있다.
80,테러투스,강/민물,R2,★★☆☆☆,1,11,10,60,13,흉측하게 생긴 이빨을 가진 물고기. 테러투스는 공포의 이빨이라는 뜻이다.
81,액스테일,강/민물,R2,★★☆☆☆,1,11,10,60,13,도끼 모양의 꼬리지느러미가 특징인 물고기. 구워먹으면 맛있다.
82,앵커헤드,강/민물,R2,★★☆☆☆,1,11,10,60,13,머리가 닻 모양이라서 앵커헤드라는 이름이 붙었다. 정면에서 보면 굉장히 멍청해 보인다.
83,킬핀,강/민물,R2,★★☆☆☆,1,11,10,60,13,배지느러미가 용골의 형태를 띄고 있다. 황동색의 비늘이 아름다워 주로 관상어로 키워진다.
44,정어리,바다,R2,★★☆☆☆,1,21,20,60,10,"바다의 쌀이라고 불리는 생선. 그 이름에 걸맞게, 작은 덩치에 비해 영양소가 풍부하다."
45,멸치,바다,R2,★★☆☆☆,1,21,20,60,10,"우리 아이 술안주, 아빠의 영양간식. 그렇다면 엄마는?"
24,골리앗피쉬,강/민물,R3,★★★☆☆,2,20,70,200,50,이름도 크기도 골리앗!
25,고드름잉어,강/민물,R3,★★★☆☆,1,20,65,20,50,머리 한 가운데에 고드름 모양의 뿔이 돋아있는 희귀종. 뿔에서는 은은한 냉기가 감돈다.
26,파이렐투스,강/민물,R3,★★★☆☆,1,25,50,30,20,태양을 닮은 따스한 주홍빛 비늘이 반짝인다.
27,백금어,강/민물,R3,★★★☆☆,1,25,55,10,10,"백금을 씌운 듯, 아름다운 비늘로 덮힌 물고기."
28,루비 스타,강/민물,R3,★★★☆☆,1,25,60,80,30,루비색의 별 모양 진주를 품은 조개. 품질이 좋은 진주는 사치가들에게 대인기.
41,역천어,강/민물,R3,★★★☆☆,1,30,100,80,30,"끊임없이 강을 역류하며 올라가는 물고기, 힘이 대단히 좋다."
84,린멜스케일,강/민물,R3,★★★☆☆,1,25,63,55,30,린멜 금속과 유사한 성질을 띈 비늘을 두른 물고기. 같은 린멜제 도구가 아니면 손질도 어렵다고.
85,판금집게,강/민물,R3,★★★☆☆,1,25,63,55,30,마치 판금을 두른 듯한 금속질의 껍질을 두른 게. 위협할 때 집게발을 휘둘러 커다란 금속음을 낸다.
86,임금님고기,강/민물,R3,★★★☆☆,1,25,63,55,30,정통한 왕위계승자가 낚아올리면 찬란한 빛과 함께 극상의 맛을 자랑하게 된다는 물고기. 그 외의 사람이 낚으면 그저 잡어에 불과하다.
87,피치 블랙,강/민물,R3,★★★☆☆,1,25,63,55,30,온 몸을 칠흑 빛의 비늘로 덮은 물고기. 그림자가 진 곳이라면 아무리 맑은 물 속일지라도 잘 보이지 않는다.
88,비취껍질,강/민물,R3,★★★☆☆,1,25,63,55,30,실제 비취의 속을 파고들어 본인의 집으로 삼는 집게. 그들의 집은 천연의 조각품으로 여겨져 비싼 값에 거래된다.
89,크라니아,강/민물,R3,★★★☆☆,1,25,63,55,30,두개골을 뒤집어 쓴 듯한 비주얼의 물고기. 단단한 머리로 다른 물고기를 들이받아 사냥한다.
90,섀도스위머,강/민물,R3,★★★☆☆,1,25,63,55,30,그늘진 장소에서 마치 그림자에 숨듯이 천천히 유영하는 물고기. 막상 잡으려들면 순식간에 사라진다.
91,사이클로피쉬,강/민물,R3,★★★☆☆,1,25,63,55,30,이마 한가운데에 눈 모양의 무늬가 있는 물고기. 실제 눈은 무늬에 가려져 잘 보이지 않는다.
92,용어,강/민물,R3,★★★☆☆,1,25,63,55,30,온 몸을 황금빛의 비늘로 두른 아로와나. 그 자태가 용으로 곧 승천할 것만 같다 하여 용어라 불린다.
46,문어,바다,R3,★★★☆☆,1,50,125,60,10,"문어님 문어님, 올해는 축구부가 우승할 수 있을까요?"
47,광어,바다,R3,★★★☆☆,1,50,125,60,10,넙데데한 모습 때문에 넙치라고도 불린다. 회를 떠서 먹으면 맛이 굉장히 훌륭하다.
48,참돔,바다,R3,★★★☆☆,1,50,125,60,10,회로 떠서 먹으면 기름진 맛이 일품이다. 그랑펠덴에서도 인기 횟감.
49,개복치,바다,R3,★★★☆☆,3,50,125,60,10,"툭하면 죽는 그 생선을 생각했다면, 엄청난 덩치와 마주하게 될 것이다."
29,겨울나기,강/민물,R4,★★★★☆,1,500,1000,80,20,"겨울 중 가장 추운 날에만 발견할 수 있다는 환상의 물고기. 강력한 물의 원소를 품고 있는 귀한 마법 재료라서, 부르는 것이 값이다."
30,강의 심부름꾼,강/민물,R4,★★★★☆,2,750,1500,150,50,"마치 용을 닮은 생김새와 남색 비늘을 두른 물고기. 그 신비스러운 모습에, 강신의 심부름꾼으로 불린다."
31,봄빛 전령,강/민물,R4,★★★★☆,1,450,1000,80,20,"봄빛이라고밖에 표현할 수 없는 빛의 비늘을 두른 작은 물고기. 발견한 사람은, 그 해에 행운이 깃든다는 설이 있다."
32,가을비늘,강/민물,R4,★★★★☆,1,400,1000,80,20,구름 한 점 없는 가을 날의 강에서만 보인다는 물고기. 단풍잎 모양의 붉은 비늘이 인상적이다.
33,여름길잡이,강/민물,R4,★★★★☆,1,550,1000,80,20,"내가 봤다니까. 여름에 강에서 놀다가 길을 잃었는데, 어떤 파란색 물고기가 길을 안내해줬다고! - 허풍이 심한 아카데미생."
93,영념어,강/민물,R4,★★★★☆,1,500,1000,80,20,불멸의 생명력을 가지고 있다는 전설의 물고기. 다른 외부 요인이 없다면 늙어죽지 않는다고 전해진다.
94,버펠의 촛불,강/민물,R4,★★★★☆,1,500,1000,80,20,불꽃의 원소를 몸에 가득 품은 물고기. 머리 한가운데에 솟은 뿔 끝에서는 물 속에서조차 꺼지지 않는 작은 불꽃을 피워낸다.
95,돌풍화살,강/민물,R4,★★★★☆,1,500,1000,80,20,"거센 바람을 몸에 두르고 헤엄치는 물고기. 바람과 함께 회전하여 돌진해, 먹잇감을 꿰뚫는 방식으로 사냥한다."
96,땅울리미,강/민물,R4,★★★★☆,1,500,1000,80,20,"온몸에 암석을 닮은 돌기가 솟아난 거대한 물고기. 강이나 호수의 바닥에 서식하며, 녀석이 한 번 퍼덕이면 근처의 땅이 울린다."
97,미스릴스케일,강/민물,R4,★★★★☆,1,500,1000,80,20,"오랜 세월 동안 살아남은 린멜스케일의 비늘이 변이를 일으켜, 미스릴과 유사한 구조를 띄는 비늘로 몸을 감싼 물고기."
50,참치,바다,R4,★★★★☆,2,1000,2000,60,10,값비싼 회의 대명사. 덩치에 걸맞게 힘도 강하다.
51,청새치,바다,R4,★★★★☆,1,1000,2000,60,10,"으악! 생선이 날 찔렀어! 메딕, 메딕!!!"
52,밀레니엄 크랩,바다,R4,★★★★☆,3,1000,2000,60,10,"수명이 1000년을 넘는다고 알려진 희귀한 갑각류. 크랩이라는 이름과 달리, 실제로는 바닷가재와 비슷하게 생겼다."
53,혼불아귀,바다,R4,★★★★☆,1,1000,2000,60,10,"푸르스름하고, 스산한 빛을 발산하는 아귀. 유령선과 함께 출몰한다는 이야기가 전해진다."
54,오레이칼,바다,R4,★★★★☆,1,1000,2000,60,10,전신이 엄청난 강도의 금속질 비늘로 덮혀있는 물고기. 그 생태는 아직도 미궁에 빠져있다.
34,빛바랜 추억,강/민물,R5,★★★★★,1,2000,3000,20,5,"모든 기억은 시간의 흐름 앞에서 빛을 잃고 잊혀지기 마련. 허나, 그 과정조차 아름답기에 추억이라 불린다. - 신원 미상의 철학자."
35,호수의 주인,강/민물,R5,★★★★★,2,2500,4000,150,50,커다란 호수에서만 자리잡아 살아간다고 전해지는 전설적인 존재. 거대하다는 것 외에는 알려진 특징이 없다.
36,태양아가미,강/민물,R5,★★★★★,1,2000,3000,10,3,"아켄라브의 축복을 듬뿍 받은 전설의 물고기. 강렬한 열기와 눈부신 광휘가 느껴진다면, 그것과 조우한 것이다."
37,달지느러미,강/민물,R5,★★★★★,1,2000,3000,10,3,"브리간티아의 가호를 받는 물고기. 그 존재를 한 번 목격한 것만으로, 조금 앞의 미래를 내다볼 수 있게 된다고 전해진다."
98,별빛바라기,강/민물,R5,★★★★★,1,2000,3000,15,4,"하얀색 비늘과 푸른 색 눈을 가진, 작은 물고기. 별빛이 강하게 내리쬐는 밤에만 모습을 드러낸다."
99,끝자락의 꿈,강/민물,R5,★★★★★,1,2000,3000,15,4,"그녀는 이 세상의 끝자락에서 무엇을 꿈꾸었는가. 이제는 그조차 알 도리가 없으니, 애석할 따름이로다. - 신원 미상의 낚시꾼"
55,기갈로돈,바다,R5,★★★★★,3,4000,6000,60,10,"고대에 이미 멸종했다고 전해지는, 굉장히 거대한 상어. 작은 배와 비슷한 크기를 지녔다."
56,백경,바다,R5,★★★★★,10,4000,6000,60,10,"구전동화에서나 그 존재를 유추할 수 있는 전설의 고래. 순백의 거체를 목격한 순간, 경외할 수밖에 없다고 전해진다."
57,금강비늘,바다,R5,★★★★★,1,4000,6000,60,10,"야장의 신 고바논의 권능을 받아, 그 몸을 금강석과 같은 재질의 비늘로 감싼 물고기. 일반적인 인간의 근력으로는 감당할 수 없는 활력을 지니고 있다."
58,바다의 전령,바다,R5,★★★★★,3,4000,6000,60,10,"용의 형상을 띈 거체와, 바다의 빛을 전부 담아낸 이 비늘의 빛. 그야말로 전설의 물고기라 칭하기에 부족함이 없도다! - 어떤 어류학자."
59,쉔 우,바다,R5,★★★★★,1,4000,6000,60,10,"용의 머리와 뱀의 꼬리, 거북이의 껍질을 지니고, 음기를 조종한다는 환수종. 주로 에린딜 동방의 설화에서 자주 등장한다."
60,크라켄,바다,R5,★★★★★,6,4000,6000,600,10,얘는 전투해야 잡을 수 있게 설계할거에요 - 뭇별
