no,이름,서식지,등급,별등급,중량,판매가,숙련도,크기기본,크기편차,설명
18,엔젤피쉬,강/민물,R2,★★☆☆☆,1,8,8,70,15,직각삼각형에서 빗변의 길이의 제곱은 나머지 두 변의 길이를 제곱한 뒤 더한 것과 같다.
19,금박가재,강/민물,R2,★★☆☆☆,1,9,10,8,2,집게발이 금박을 입힌 것처럼 금빛을 띄고 있다고 하여 붙여진 이름. 탱탱한 살이 일품이다.
20,꽃잎 메기,강/민물,R2,★★☆☆☆,1,13,8,60,20,위에서 보면 마치 꽃잎을 닮은 형태를 띄고 있다. 정면에서 보면 자세한 설명은 생략한다.
21,아로와나,강/민물,R2,★★☆☆☆,2,10,10,100,30,대체 어떻게 민물에서 살고 있는 건지 의문이 들 정도로 크다.
22,산천어,강/민물,R2,★★☆☆☆,1,7,10,60,10,"뭐? 2급수? 안 해, 안 해. 나 죽어버릴거야."
23,슬라임 잭,강/민물,R2,★★☆☆☆,1,11,5,60,20,"말랑말랑, 만지면 기분이 좋다. 특정 매니아들 사이에서 인기가 많다."
39,안개정어리,강/민물,R2,★★☆☆☆,1,15,15,60,10,"흐물흐물거릴 정도로 뼈가 얇아 지어진 이름의 물고기, 톡 쏘는 맛이 별미이다."
40,녹쏘가리,강/민물,R2,★★☆☆☆,1,15,15,60,10,"프레넬 숲에서만 나온다고 전해지는 녹색 쏘가리, 생긴 것과 달리 맛있다."
44,정어리,바다,R2,★★☆☆☆,1,25,30,60,10,"바다의 쌀이라고 불리는 생선. 그 이름에 걸맞게, 작은 덩치에 비해 영양소가 풍부하다."
45,멸치,바다,R2,★★☆☆☆,1,30,45,60,10,"우리 아이 술안주, 아빠의 영양간식. 그렇다면 엄마는?"
24,골리앗피쉬,강/민물,R3,★★★☆☆,2,20,70,200,50,이름도 크기도 골리앗!
25,고드름 잉어,강/민물,R3,★★★☆☆,1,20,65,20,50,머리 한 가운데에 고드름 모양의 뿔이 돋아있는 희귀종. 뿔에서는 은은한 냉기가 감돈다.
26,파이렐투스,강/민물,R3,★★★☆☆,1,25,50,30,20,태양을 닮은 따스한 주홍빛 비늘이 반짝인다.
27,백금어,강/민물,R3,★★★☆☆,1,25,55,10,10,"백금을 씌운 듯, 아름다운 비늘로 덮힌 물고기."
28,루비 스타,강/민물,R3,★★★☆☆,1,25,60,80,30,루비색의 별 모양 진주를 품은 조개. 품질이 좋은 진주는 사치가들에게 대인기.
41,역천어,강/민물,R3,★★★☆☆,1,30,100,80,30,"끊임없이 강을 역류하며 올라가는 물고기, 힘이 대단히 좋다."
46,문어,바다,R3,★★★☆☆,1,50,80,60,10,"문어님 문어님, 올해는 축구부가 우승할 수 있을까요?"
47,광어,바다,R3,★★★☆☆,1,75,120,60,10,넙데데한 모습 때문에 넙치라고도 불린다. 회를 떠서 먹으면 맛이 굉장히 훌륭하다.
48,참돔,바다,R3,★★★☆☆,1,60,100,60,10,회로 떠서 먹으면 기름진 맛이 일품이다. 그랑펠덴에서도 인기 횟감.
49,개복치,바다,R3,★★★☆☆,3,100,150,60,10,"툭하면 죽는 그 생선을 생각했다면, 엄청난 덩치와 마주하게 될 것이다."
29,겨울나기,강/민물,R4,★★★★☆,1,500,1000,80,20,"겨울 중 가장 추운 날에만 발견할 수 있다는 환상의 물고기. 강력한 물의 원소를 품고 있는 귀한 마법 재료라서, 부르는 것이 값이다."
30,강의 심부름꾼,강/민물,R4,★★★★☆,2,750,1500,150,50,"마치 용을 닮은 생김새와 남색 비늘을 두른 물고기. 그 신비스러운 모습에, 강신의 심부름꾼으로 불린다."
31,봄빛 전령,강/민물,R4,★★★★☆,1,450,1000,80,20,"봄빛이라고밖에 표현할 수 없는 빛을 두른 작은 물고기. 발견한 사람은, 그 해에 행운이 깃든다는 설이 있다."
32,가을비늘,강/민물,R4,★★★★☆,1,400,1000,80,20,구름 한 점 없는 가을 날의 강에서만 보인다는 물고기. 단풍잎 모양의 붉은 비늘이 인상적이다.
33,여름길잡이,강/민물,R4,★★★★☆,1,550,1000,80,20,"내가 봤다니까. 여름에 강에서 놀다가 길을 잃었는데, 어떤 파란색 물고기가 길을 안내해줬다고! - 허풍이 심한 아카데미생."
50,참치,바다,R4,★★★★☆,2,15,15,60,10,값비싼 회의 대명사. 덩치에 걸맞게 힘도 강하다.
51,청새치,바다,R4,★★★★☆,1,15,15,60,10,"으악! 생선이 날 찔렀어! 메딕, 메딕!!!"
52,밀레니엄 크랩,바다,R4,★★★★☆,3,15,15,60,10,"수명이 1000년을 넘는다고 알려진 희귀한 갑각류. 크랩이라는 이름과 달리, 실제로는 바닷가재와 비슷하게 생겼다."
53,혼불아귀,바다,R4,★★★★☆,1,15,15,60,10,"푸르스름하고, 스산한 빛을 발산하는 아귀. 유령선과 함께 출몰한다는 이야기가 전해진다."
54,오레이칼,바다,R4,★★★★☆,1,15,15,60,10,전신이 엄청난 강도의 금속질 비늘로 덮혀있는 물고기. 그 생태는 아직도 미궁에 빠져있다.
34,빛바랜 추억,강/민물,R5,★★★★★,1,2000,3000,20,5,"모든 추억은 시간의 흐름 앞에서 빛을 잃고, 잊혀지기 마련. 허나, 그 과정조차 아름답기에, 추억이라 불린다. - 신원 미상의 철학자."
35,호수의 주인,강/민물,R5,★★★★★,2,2500,4000,150,50,에첸의 숲 호수에 산다고 전해지는 전설적인 존재. 거대하다는 것 외에는 알려진 특징이 없다.
36,태양아가미,강/민물,R5,★★★★★,1,2000,3000,10,3,"아켄라브의 축복을 듬뿍 받은, 전설의 물고기. 강렬한 열기와 눈부신 광휘가 느껴진다면, 그것과 조우한 것이다."
37,달지느러미,강/민물,R5,★★★★★,1,2000,3000,10,3,"브리간티아의 가호를 받는 물고기. 그 존재를 한 번 목격한 것만으로, 조금 앞의 미래를 내다볼 수 있게 된다고 전해진다."
55,기갈로돈,바다,R5,★★★★★,3,15,15,60,10,"고대에 이미 멸종했다고 전해지는, 굉장히 거대한 상어. 작은 배와 비슷한 크기를 지녔다."
56,백경,바다,R5,★★★★★,10,15,15,60,10,"구전동화에서나 그 존재를 유추할 수 있는 전설의 고래. 순백의 거체를 목격한 순간, 경외할 수밖에 없다고 전해진다."
57,금강비늘,바다,R5,★★★★★,1,15,15,60,10,"야장의 신 고바논의 권능을 받아, 그 몸을 금강석과 같은 재질의 비늘로 감싼 물고기. 일반적인 인간의 근력으로는 감당할 수 없는 활력을 지니고 있다."
58,바다의 전령,바다,R5,★★★★★,3,15,15,60,10,"용의 형상을 띈 거체와, 바다의 빛을 전부 담아낸 이 비늘의 빛. 그야말로 전설의 물고기라 칭하기에 부족함이 없도다! - 어떤 어류학자."
59,쉔 우,바다,R5,★★★★★,1,15,15,60,10,"용의 머리와 뱀의 꼬리, 거북이의 껍질을 지니고, 음기를 조종한다는 환수종. 주로 에린딜 동방의 설화에서 자주 등장한다."
60,크라켄,바다,R5,★★★★★,6,15,15,600,10,얘는 전투해야 잡을 수 있게 설계할거에요 - 뭇별
