레시피ID	이름	분류	등급	필요시설	재료	결과	판매가	중량	효과	지속	숙련도	태그	공개
cook_trout_roast	송어구이	생선요리	R1	공용 주방	송어x1, 소금x1	송어구이x1	40	1	피로도 15 회복	즉시	4	피로도,회복	FALSE
cook_salmon_steak	연어 스테이크	생선요리	R1	공용 주방	연어x1, 소금x1, 향신료x1	연어 스테이크x1	60	1	30분 동안 낚시 행운 +5	30분	6	생활행운,낚시	FALSE
cook_tilapia_wrap	틸라피아 랩	생선요리	R1	공용 주방	틸라피아x1, 밀x1, 채소x1	틸라피아 랩x1	50	1	피로도 18 회복	즉시	5	피로도,회복	FALSE
cook_hot_spring_fish	유황어 온천찜	생선요리	R2	조리대	유황어x1, 물x1, 소금x1	유황어 온천찜x1	80	2	피로도 25 회복	즉시	8	피로도,회복	FALSE
cook_crayfish_cheese	금박가재 치즈구이	생선요리	R2	조리대	금박가재x1, 치즈x1, 향신료x1	금박가재 치즈구이x1	80	1	세션 버프: 재주 판정 +1, 공격력 +1	다음 세션	8	세션버프,복합	FALSE
cook_flower_catfish_stew	꽃잎 메기 스튜	생선요리	R2	조리대	꽃잎 메기x1, 채소x1, 물x1	꽃잎 메기 스튜x1	80	2	세션 버프: 감지 판정 +1, HP +5	다음 세션	8	세션버프,복합	FALSE
cook_angel_fish_meuniere	엔젤피쉬 뫼니에르	생선요리	R2	조리대	엔젤피쉬x1, 밀x1, 우유x1	엔젤피쉬 뫼니에르x1	90	1	세션 버프: 정신 판정 +1, MP +5	다음 세션	9	세션버프,복합	FALSE
cook_sansam_chicken	산삼 백숙	채집요리	R2	조리대	산삼x1, 고기x1, 물x1	산삼 백숙x1	90	2	피로도 30 회복	즉시	9	피로도,회복	FALSE
cook_cordyceps_soup	동충하초 수프	채집요리	R2	조리대	동충하초x1, 물x1, 향신료x1	동충하초 수프x1	100	1	세션 버프: HP +10, 근력 판정 +1	다음 세션	10	세션버프,복합	FALSE
cook_luminous_moss_jelly	발광이끼 젤리	채집요리	R2	조리대	발광이끼x1, 과일x1, 물x1	발광이끼 젤리x1	100	1	30분 동안 채집 행운 +5	30분	10	생활행운,채집	FALSE
cook_reishi_hotpot	영지버섯 전골	채집요리	R2	조리대	영지버섯x1, 채소x1, 물x1	영지버섯 전골x1	80	2	피로도 25 회복	즉시	8	피로도,회복	FALSE
cook_rockfruit_pie	락 후르츠 파이	채집요리	R2	조리대	락 후르츠x1, 밀x1, 우유x1	락 후르츠 파이x1	100	1	세션 버프: HP +10	다음 세션	10	세션버프,HP	FALSE
cook_heaven_berry_tart	헤븐 베리 타르트	고급요리	R3	주방	헤븐 베리x1, 밀x1, 우유x1, 치즈x1	헤븐 베리 타르트x1	140	1	피로도 40 회복	즉시	14	피로도,회복	FALSE
cook_goliath_fish_platter	골리앗피쉬 플래터	고급요리	R3	주방	골리앗피쉬x1, 채소x1, 소금x1, 향신료x1	골리앗피쉬 플래터x1	150	2	세션 버프: 공격력 +2, HP +10	다음 세션	15	세션버프,복합	FALSE
cook_adventurer_stew	모험가 스튜	고급요리	R3	주방	고기x1, 채소x1, 물x1, 산나물x1, 배스x1	모험가 스튜x1	150	2	세션 버프: 원하는 판정 1회 +2	다음 세션	15	세션버프,판정	FALSE
cook_arowana_cutlet	아로와나 커틀릿	생선요리	R2	조리대	아로와나x1, 밀x1, 달걀x1, 소금x1	아로와나 커틀릿x1	90	1	세션 버프: 공격력 +1, HP +5	다음 세션	9	세션버프,복합	FALSE
cook_mountain_trout_soup	산천어 산채탕	생선요리	R2	조리대	산천어x1, 산나물x1, 물x1, 소금x1	산천어 산채탕x1	90	2	피로도 25 회복	즉시	9	피로도,회복	FALSE
cook_slime_jack_jelly	슬라임 잭 젤리	생선요리	R2	조리대	슬라임 잭x1, 과일x1, 물x1	슬라임 잭 젤리x1	100	1	30분 동안 낚시 행운 +5	30분	10	생활행운,낚시	FALSE
cook_fog_sardine_toast	안개정어리 토스트	생선요리	R2	조리대	안개정어리x1, 밀x1, 치즈x1	안개정어리 토스트x1	100	1	30분 동안 낚시 행운 +5	30분	10	생활행운,낚시	FALSE
cook_green_mandarin_fish	녹쏘가리 허브찜	생선요리	R2	조리대	녹쏘가리x1, 산나물x1, 향신료x1	녹쏘가리 허브찜x1	110	2	세션 버프: 민첩 판정 +1, 감지 판정 +1	다음 세션	11	세션버프,복합	FALSE
cook_icicle_carp_sorbet	고드름 잉어 소르베	고급요리	R3	주방	고드름 잉어x1, 과일x1, 물x1	고드름 잉어 소르베x1	130	1	세션 버프: 마법 방어 +2, MP +10	다음 세션	13	세션버프,방어	FALSE
cook_pyrelthus_spicy_grill	파이렐투스 매운구이	고급요리	R3	주방	파이렐투스x1, 향신료x1, 소금x1	파이렐투스 매운구이x1	140	1	세션 버프: 공격력 +2	다음 세션	14	세션버프,공격	FALSE
cook_platinum_fish_pie	백금어 파이	고급요리	R3	주방	백금어x1, 밀x1, 우유x1, 치즈x1	백금어 파이x1	140	1	피로도 45 회복	즉시	14	피로도,회복	FALSE
cook_ruby_star_chowder	루비 스타 차우더	고급요리	R3	주방	루비 스타x1, 우유x1, 물x1, 향신료x1	루비 스타 차우더x1	150	1	세션 버프: 행운 판정 +2, MP +10	다음 세션	15	세션버프,복합	FALSE
cook_rebel_fish_steak	역천어 스테이크	고급요리	R3	주방	역천어x1, 채소x1, 소금x1, 향신료x1	역천어 스테이크x1	160	1	세션 버프: 공격력 +2, 민첩 판정 +1	다음 세션	16	세션버프,복합	FALSE
cook_baekyang_elixir_soup	백양초 회복탕	채집요리	R2	조리대	백양초x1, 물x1, 산나물x1	백양초 회복탕x1	90	2	피로도 25 회복	즉시	9	피로도,회복	FALSE
cook_blue_rose_tea	푸른 장미 차	채집요리	R2	조리대	푸른 장미x1, 물x1, 향신료x1	푸른 장미 차x1	100	1	세션 버프: MP +10, 정신 판정 +1	다음 세션	10	세션버프,마법	FALSE
cook_hasuo_root_stew	하수오 뿌리찜	채집요리	R2	조리대	하수오x1, 고기x1, 물x1	하수오 뿌리찜x1	100	2	피로도 30 회복	즉시	10	피로도,회복	FALSE
cook_udumbara_tea	우담바라 영차	고급요리	R3	주방	우담바라x1, 물x1, 과일x1	우담바라 영차x1	150	1	세션 버프: 모든 판정 중 1회 +3	다음 세션	15	세션버프,판정	FALSE
cook_mandrake_omelet	맨드레이크 오믈렛	고급요리	R3	주방	맨드레이크x1, 달걀x1, 우유x1	맨드레이크 오믈렛x1	150	1	세션 버프: 공격력 +1, HP +15	다음 세션	15	세션버프,복합	FALSE
cook_ghost_hand_risotto	유령손 리조토	고급요리	R3	주방	유령손x1, 밀x1, 치즈x1, 향신료x1	유령손 리조토x1	160	1	세션 버프: 지력 판정 +2, MP +10	다음 세션	16	세션버프,마법	FALSE
cook_dragon_flower_roast	드래곤 플라워 로스트	고급요리	R3	주방	드래곤 플라워x1, 고기x1, 향신료x1	드래곤 플라워 로스트x1	180	2	세션 버프: 공격력 +3	다음 세션	18	세션버프,공격	FALSE
cook_marigold_cookie	메리골드 쿠키	고급요리	R3	주방	메리골드x1, 밀x1, 달걀x1, 우유x1	메리골드 쿠키x1	160	1	세션 버프: 행운 판정 +2	다음 세션	16	세션버프,행운	FALSE
cook_golden_firefly_cordial	황금 반딧풀 코디얼	고급요리	R3	주방	황금 반딧풀x1, 과일x1, 물x1	황금 반딧풀 코디얼x1	200	1	30분 동안 낚시·채집 행운 +8	30분	20	생활행운,복합	FALSE
cook_waterdrop_flower_cake	물망울 꽃 케이크	명품요리	R4	고급 주방	물망울 꽃x1, 밀x1, 우유x1, 치즈x1	물망울 꽃 케이크x1	500	1	세션 버프: HP +20, MP +20, 원하는 판정 1회 +2	다음 세션	25	세션버프,명품	FALSE
